과제Id,기관명,과제명,분류,연구수행기관,사업연도,보고서공개여부,조회수,좋아요
1490000-202300089,고용노동부,통합형 임금정보시스템 구축을 통한 단계적 임금정보 확대 방안 등 연구,사회복지,한국직업자격학회,2023,공개,375,0
1490000-202300088,고용노동부,산업구조변화대응 등 특화훈련 성과분석 및 우수사례 컨설팅,교육,한국직업능력연구원,2023,공개,391,0
1490000-202300086,고용노동부,체불 해결을 위한 책임 강화 방안 및 임금채권보장기금의 사업주 부담금 경감기준 등에 관한 연구,사회복지,한국노동연구원,2023,공개,180,0
1490000-202300084,고용노동부,고령 퇴직자 재취업 및 직업훈련 욕구 조사,사회복지,(사)한국퇴직자총연합회,2023,공개,517,0
1490000-202300082,고용노동부,상생의 노사관계 구축을 위한 노동법˙제도 개선방안 연구,사회복지,(사)한국노동법이론실무학회,2023,공개,405,0
1490000-202300081,고용노동부,대규모 수질오염에서의 필수업무 및 필수업무 종사자 실태조사,사회복지,양산부산대학교병원,2023,공개,363,0
1490000-202300080,고용노동부,챗지피티(Chat-GPT) 등 인공지능이 직업능력개발에 미치는 영향 및 활용방안 연구,교육,(사)한국고용복지학회,2023,공개,632,0
1490000-202300079,고용노동부,산재보험법 시행령 [별표 3] 업무상 질병에 대한 구체적인 인정기준 개정안 마련을 위한 포럼,사회복지,한양대학교 산학협력단,2023,공개,377,0
1490000-202300078,고용노동부,직업성 암 등에 대한 역학(전문)조사 생략범위 확대방안 연구,사회복지,한림대학교 산학협력단,2023,공개,378,0
1490000-202300077,고용노동부,역학(전문)조사 처리절차 업무량 분석 등을 통한 개선방안 연구,사회복지,(주)한국능률협회컨설팅,2023,공개,404,0
1490000-202300076,고용노동부,사업체기간제근로자현황조사 표본설계 및 추정방법 연구,일반공공행정,(사)한국통계학회,2023,공개,379,0
1490000-202300075,고용노동부,기업체노동비용조사  표본설계 및 추정방법 연구,일반공공행정,(사)한국통계학회,2023,공개,393,0
1490000-202300074,고용노동부,개정된 한국종사상지위분류의 고용노동통계조사 적용 방안,일반공공행정,한국노동연구원,2023,공개,380,0
1490000-202300073,고용노동부,신기술 분야 국가기간 전략산업 직종 발굴을 위한 연구,사회복지,넥스텔리전스(주),2023,공개,395,0
1490000-202300069,고용노동부,2022년 전국노동조합 조직현황 분석,사회복지,한국노동연구원,2023,공개,423,0
1490000-202300065,고용노동부,"2023년 공무원, 교원 노사관계 쟁점 연구",사회복지,사단법인 한국노동법학회,2023,공개,384,0
1490000-202300064,고용노동부,소음성 난청 업무개선 방안 마련을 위한 연구,사회복지,고려대학교 산학협력단,2023,공개,396,0
1490000-202300058,고용노동부,청년일경험  지원사업 모니터링  및 평가 연구,사회복지,한국직업능력연구원,2023,공개,406,0
1490000-202300057,고용노동부,청년일경험 활성화를 위한 성과관리 방안 연구,사회복지,한국직업능력연구원,2023,공개,486,0
1490000-202300056,고용노동부,청년채용장려금 사업의 성과분석을 통한 개편방안 연구,사회복지,한국공학대학교 산학협력단,2023,공개,395,0
